SOHO__EIT,VSO,VO,EIT,SOHO,SDAC,ack_SDAC,1,,SOHO.EIT,SOHO,EIT,,SOHO,EIT
SOHO__CDS,VSO,VO,CDS,SOHO,SDAC,ack_SDAC,1,,SOHO.CDS,SOHO,CDS,,SOHO,CDS
SOHO__SUMER,VSO,VO,SUMER,SOHO,SDAC,ack_SDAC,1,,SOHO.SUMER,SOHO,SUMER,,SOHO,SUMER
SOHO__UVCS,VSO,VO,UVCS,SOHO,SDAC,ack_SDAC,1,,SOHO.UVCS,SOHO,UVCS,,SOHO,UVCS
SOHO__LASCO,VSO,VO,LASCO,SOHO,SDAC,ack_SDAC,1,,SOHO.LASCO,SOHO,LASCO,,SOHO,LASCO
SOHO__SWAN,VSO,VO,SWAN,SOHO,SDAC,ack_SDAC,1,,SOHO.SWAN,SOHO,SWAN,,SOHO,SWAN
SOHO__MDI,VSO,VO,MDI,SOHO,SDAC,ack_SDAC,2,,SOHO.MDI,SOHO,MDI,,SOHO,MDI
SOHO__MDI,VSO,VO,MDI,SOHO,SHA,ack_SHA,1,,SOHO.MDI,SOHO,MDI,,SOHO,MDI
SOHO__GOLF,VSO,VO,GOLF,SOHO,SDAC,ack_SDAC,1,,SOHO.GOLF,SOHO,GOLF,,SOHO,GOLF
SOHO__VIRGO,VSO,VO,VIRGO,SOHO,SDAC,ack_SDAC,1,,SOHO.VIRGO,SOHO,VIRGO,,SOHO,VIRGO
SOHO__CELIAS,VSO,VO,CELIAS,SOHO,SDAC,ack_SDAC,2,,SOHO.CELIAS,SOHO,CELIAS,,SOHO,CELIAS
SOHO__COSTEP,VSO,VO,COSTEP,SOHO,SDAC,ack_SDAC,2,,SOHO.COSTEP,SOHO,COSTEP,,SOHO,COSTEP
SOHO__ERNE,VSO,VO,ERNE,SOHO,SDAC,ack_SDAC,2,,SOHO.ERNE,SOHO,ERNE,,SOHO,ERNE
SOHO__SEM,VSO,VO,CELIAS,SOHO,SDAC,ack_SDAC,1,,SOHO.CELIAS,SOHO,CELIAS,,SOHO,SEM
STEREO_A__EUVI,VSO,VO,SECCHI,STEREO-A,SSC,ack_SSC,1,,STEREO-A.SECCHI,STEREO-A,SECCHI,,STEREO-A,EUVI
STEREO_A__COR,VSO,VO,SECCHI,STEREO-A,SSC,ack_SSC,1,,STEREO-A.SECCHI,STEREO-A,SECCHI,,STEREO-A,COR
STEREO_A__HI,VSO,VO,SECCHI,STEREO-A,SSC,ack_SSC,1,,STEREO-A.SECCHI,STEREO-A,SECCHI,,STEREO-A,HI
STEREO_A__SWAVES,VSO,VO,SWAVES,STEREO-A,SSC,ack_SSC,1,,STEREO-A.SWAVES,STEREO-A,SWAVES,,STEREO-A,SWAVES
STEREO_A__SWEA,VSO,VO,IMPACT,STEREO-A,SSC,ack_SSC,1,,STEREO-A.IMPACT,STEREO-A,IMPACT,,STEREO-A,SWEA
STEREO_A__MAG,VSO,VO,IMPACT,STEREO-A,SSC,ack_SSC,1,,STEREO-A.IMPACT,STEREO-A,IMPACT,,STEREO-A,MAG
STEREO_A__SEP,VSO,VO,IMPACT,STEREO-A,SSC,ack_SSC,1,,STEREO-A.IMPACT,STEREO-A,IMPACT,,STEREO-A,SEP
STEREO_A__PLASTIC,VSO,VO,PLASTIC,STEREO-A,SSC,ack_SSC,1,,STEREO-A.PLASTIC,STEREO-A,PLASTIC,,STEREO-A,PLASTIC
STEREO_B__EUVI,VSO,VO,SECCHI,STEREO-B,SSC,ack_SSC,1,,STEREO-B.SECCHI,STEREO-B,SECCHI,,STEREO-B,EUVI
STEREO_B__COR,VSO,VO,SECCHI,STEREO-B,SSC,ack_SSC,1,,STEREO-B.SECCHI,STEREO-B,SECCHI,,STEREO-B,COR
STEREO_B__HI,VSO,VO,SECCHI,STEREO-B,SSC,ack_SSC,1,,STEREO-B.SECCHI,STEREO-B,SECCHI,,STEREO-B,HI
STEREO_B__SWAVES,VSO,VO,SWAVES,STEREO-B,SSC,ack_SSC,1,,STEREO-B.SWAVES,STEREO-B,SWAVES,,STEREO-B,SWAVES
STEREO_B__SWEA,VSO,VO,IMPACT,STEREO-B,SSC,ack_SSC,1,,STEREO-B.IMPACT,STEREO-B,IMPACT,,STEREO-B,SWEA
STEREO_B__MAG,VSO,VO,IMPACT,STEREO-B,SSC,ack_SSC,1,,STEREO-B.IMPACT,STEREO-B,IMPACT,,STEREO-B,MAG
STEREO_B__SEP,VSO,VO,IMPACT,STEREO-B,SSC,ack_SSC,1,,STEREO-B.IMPACT,STEREO-B,IMPACT,,STEREO-B,SEP
STEREO_B__PLASTIC,VSO,VO,PLASTIC,STEREO-B,SSC,ack_SSC,1,,STEREO-B.PLASTIC,STEREO-B,PLASTIC,,STEREO-B,PLASTIC
TRACE__TRACE_EUV,VSO,VO,TRACE,TRACE,SDAC,ack_SDAC,1,,TRACE.TRACE,TRACE,TRACE,,TRACE,TRACE-EUV
TRACE__TRACE_UV,VSO,VO,TRACE,TRACE,SDAC,ack_SDAC,1,,TRACE.TRACE,TRACE,TRACE,,TRACE,TRACE-UV
TRACE__TRACE_VIS,VSO,VO,TRACE,TRACE,SDAC,ack_SDAC,1,,TRACE.TRACE,TRACE,TRACE,,TRACE,TRACE-VIS
HINODE__SOT_SP,VSO,VO,SOT,HINODE,SDAC,ack_SDAC,1,,HINODE.SOT,HINODE,SOT,,Hinode,SOT/SP
HINODE__SOT_FG,VSO,VO,SOT,HINODE,SDAC,ack_SDAC,1,,HINODE.SOT,HINODE,SOT,,Hinode,SOT/FG
HINODE__XRT,VSO,VO,XRT,HINODE,SAO,ack_SAO,1,,HINODE.XRT,HINODE,XRT,,Hinode,XRT
HINODE__EIS,VSO,VO,EIS,HINODE,SDAC,ack_SDAC,1,,HINODE.EIS,HINODE,EIS,,Hinode,EIS
YOHKOH__SXT,VSO,VO,SXT,YOHKOH,MSU,ack_MSU,1,,YOHKOH.SXT,YOHKOH,SXT,,Yohkoh,SXT
YOHKOH__HXT,VSO,VO,HXT,YOHKOH,MSU,ack_MSU,1,,YOHKOH.HXT,YOHKOH,HXT,,Yohkoh,HXT
YOHKOH__BCS,VSO,VO,BCS,YOHKOH,MSU,ack_MSU,1,,YOHKOH.BCS,YOHKOH,BCS,,Yohkoh,BCS
YOHKOH__WBS_GRS,VSO,VO,WBS,YOHKOH,MSU,ack_MSU,1,,YOHKOH.WBS,YOHKOH,WBS,,Yohkoh,WBS-GRS
YOHKOH__WBS_HXS,VSO,VO,WBS,YOHKOH,MSU,ack_MSU,1,,YOHKOH.WBS,YOHKOH,WBS,,Yohkoh,WBS-HXS
YOHKOH__WBS_SXS,VSO,VO,WBS,YOHKOH,MSU,ack_MSU,1,,YOHKOH.WBS,YOHKOH,WBS,,Yohkoh,WBS-SXS
RHESSI__HESSI_GMR,VSO,VO,RHESSI,RHESSI,LSSP,ack_LSSP,1,,RHESSI.RHESSI,RHESSI,RHESSI,,RHESSI,HESSI-GMR
RHESSI__HESSI_HXR,VSO,VO,RHESSI,RHESSI,LSSP,ack_LSSP,1,,RHESSI.RHESSI,RHESSI,RHESSI,,RHESSI,HESSI-HXR
GOES_12__SXI,VSO,VO,SXI-0,GOES-12,NGDC,ack_NGDC,1,,GOES-12.SXI-0,GOES-12,SXI-0,,GOES-12,SXI
KPNO__MAGMP,VSO,VO,512-channel magnetograph,KPVT,NSO,ack_NSO,1,,KPVT.512-channel magnetograph,KPVT,512-channel magnetograph,,KPNO,MAGMP
KPNO__SPMAG,VSO,VO,spectromagnetograph,KPVT,NSO,ack_NSO,1,,KPVT.spectromagnetograph,KPVT,spectromagnetograph,,KPNO,SPMAG
KPNO__VSM,VSO,VO,vsm,SOLIS,NSO,ack_NSO,1,,SOLIS.vsm,SOLIS,vsm,,KPNO,VSM
KPNO__FTS,VSO,VO,solar fts spectrometer,MCMATH,NSO,ack_NSO,1,,MCMATH.solar fts spectrometer,MCMATH,solar fts spectrometer,,KPNO,FTS
KSAC__SHELIO,VSO,VO,spectroheliograph,EVANS,NSO,ack_NSO,1,,EVANS.spectroheliograph,EVANS,spectroheliograph,,KSAC,SHELIO
KSFO__CFDT1,VSO,VO,CFDT1,SFO,SFO,ack_SFO,1,,SFO.CFDT1,SFO,CFDT1,,KSFO,CFDT1
KSFO__CFDT2,VSO,VO,CFDT2,SFO,SFO,ack_SFO,1,,SFO.CFDT2,SFO,CFDT2,,KSFO,CFDT2
MLSO__MK4,VSO,VO,mk4,MLSO,HAO,ack_HAO,1,,MLSO.mk4,MLSO,mk4,,MLSO,MK4
MLSO__DPM,VSO,VO,dpm,MLSO,HAO,ack_HAO,1,,MLSO.dpm,MLSO,dpm,,MLSO,DPM
MLSO__CHIP,VSO,VO,chp,MLSO,HAO,ack_HAO,1,,MLSO.chp,MLSO,chp,,MLSO,CHIP
MLSO__GONG,VSO,VO,Mauna Loa,GONG,NSO,ack_NSO,2,,GONG.Mauna Loa,GONG,Mauna Loa,,MLSO,GONG
MLSO__GONG,VSO,VO,Mauna Loa,GONG,SHA,ack_SHA,1,,GONG.Mauna Loa,GONG,Mauna Loa,,MLSO,GONG
BBSO__GONG,VSO,VO,Big Bear,GONG,NSO,ack_NSO,2,,GONG.Big Bear,GONG,Big Bear,,BBSO,GONG
BBSO__GONG,VSO,VO,Big Bear,GONG,SHA,ack_SHA,1,,GONG.Big Bear,GONG,Big Bear,,BBSO,GONG
MWSO__SHELIO,VSO,VO,60-ft SHG,MTWILSON,MWSPADP,ack_MWSPADP,1,,MTWILSON.60-ft SHG,MTWILSON,60-ft SHG,,MWSO,SHELIO
OVRO__OVSA,VSO,VO,OVSA,OVRO,OVRO,ack_OVRO,1,,OVRO.OVSA,OVRO,OVSA,,OVRO,OVSA
NANC__NRH,VSO,VO,Radioheliograph,NANCAY,OBSPM,ack_OBSPM,1,,NANCAY.Radioheliograph,NANCAY,Radioheliograph,,NANC,NRH
NANC__NDA,VSO,VO,Decametric Array,NANCAY,OBSPM,ack_OBSPM,1,,NANCAY.Decametric Array,NANCAY,Decametric Array,,NANC,NDA
OACT__HALPH,VSO,VO,OACT,OACT,HANET,ack_HANET,1,,OACT.OACT,OACT,OACT,,OACT,HALPH,
MEUD__MSH,VSO,VO,Meudon Spectroheliograph,OBSPM,OBSPM,ack_OBSPM,1,,OBSPM.Meudon Spectroheliograph,OBSPM,Meudon Spectroheliograph,,MEUD,MSH,
KANZ__HALPH,VSO,VO,KANZ,KANZ,HANET,ack_HANET,1,,KANZ.KANZ,KANZ,KANZ,,KANZ,HALPH,
PDMO__COGHA,VSO,VO,Coronagraph,PIC DU MIDI,OBSPM,ack_OBSPM,1,,PIC DU MIDI.Coronagraph,PIC DU MIDI,Coronagraph,,PDMO,COGHA,
YNAO__HALPH,VSO,VO,YNAO,YNAO,HANET,ack_HANET,1,,YNAO.YNAO,YNAO,YNAO,,YNAO,HALPH,
LEAR__GONG,VSO,VO,Learmonth,GONG,NSO,ack_NSO,2,,GONG.Learmonth,GONG,Learmonth,,LEAR,GONG,
LEAR__GONG,VSO,VO,Learmonth,GONG,SHA,ack_SHA,1,,GONG.Learmonth,GONG,Learmonth,,LEAR,GONG,
TEID__GONG,VSO,VO,El Teide,GONG,NSO,ack_NSO,2,,GONG.El Teide,GONG,El Teide,,TEID,GONG,
TEID__GONG,VSO,VO,El Teide,GONG,SHA,ack_SHA,1,,GONG.El Teide,GONG,El Teide,,TEID,GONG,
CTIO__GONG,VSO,VO,Cerro Tololo,GONG,NSO,ack_NSO,2,,GONG.Cerro Tololo,GONG,Cerro Tololo,,CTIO,GONG,
CTIO__GONG,VSO,VO,Cerro Tololo,GONG,SHA,ack_SHA,1,,GONG.Cerro Tololo,GONG,Cerro Tololo,,CTIO,GONG,
UDPR__GONG,VSO,VO,Udaipur,GONG,SHA,ack_SHA,1,,GONG.Udaipur,GONG,Udaipur,,UDPR,GONG,

ACE__CRIS,CDAWEB,crdp,CRIS,ACE,CDAWEB,ack_CDAWEB,1,,ACE__CRIS,AC,CRIS,ACE Cosmic Ray Isotope Spectrometer,ACE,CRIS,in-situ
ACE__EPAM,CDAWEB,crdp,EPAM,ACE,CDAWEB,ack_CDAWEB,1,,ACE__EPAM,AC,EPAM,ACE Electron Proton Alpha Monitor,ACE,EPAM,in-situ
ACE__MAG,CDAWEB,crdp,MAG,ACE,CDAWEB,ack_CDAWEB,1,,ACE__MAG,AC,MAG,ACE Magnetic Field Instrument,ACE,MAG,in-situ
ACE__SEPICA,CDAWEB,crdp,SEPICA,ACE,CDAWEB,ack_CDAWEB,1,,ACE__SEPICA,AC,SEPICA,The Solar Energetic Particle Ionic Charge Analyzer ,ACE,SEPICA,in-situ
ACE__SIS,CDAWEB,crdp,SIS,ACE,CDAWEB,ack_CDAWEB,1,,ACE__SIS,AC,SIS,ACE Solar Isotope Spectrometer,ACE,SIS,in-situ
ACE__SWEPAM,CDAWEB,crdp,SWE,ACE,CDAWEB,ack_CDAWEB,1,,ACE__SWE,AC,SWE,Solar Wind Experiment,ACE,SWEPAM,in-situ
ACE__SWEPAM,CDAWEB,crdp,SWEP,ACE,CDAWEB,ack_CDAWEB,1,,ACE__SWEP,AC,SWEP,ACE Solar Wind Electron Proton Alpha Monitor,ACE,SWEPAM,in-situ
ACE__SWICS,CDAWEB,crdp,SWICS,ACE,CDAWEB,ack_CDAWEB,1,,ACE__SWICS,AC,SWICS,Solar Wind Ion Composition Spectrometer,ACE,SWICS,in-situ
ACE__ULEIS,CDAWEB,crdp,ULEIS,ACE,CDAWEB,ack_CDAWEB,1,,ACE__ULEIS,AC,ULEIS,Ultra Low Energy Isotope Spectrometer,ACE,ULEIS,in-situ
CLUSTER__CIS,CDAWEB,crdp,CIS,Cluster,CDAWEB,ack_CDAWEB,1,,CLUSTER__CIS,CLUSTER,CIS,Cluster Ion Spectrometry,Cluster-1,CIS,in-situ
CLUSTER__DWP,CDAWEB,crdp,DWP,Cluster,CDAWEB,ack_CDAWEB,1,,CLUSTER__DWP,CLUSTER,DWP,Digital Wave Processor,Cluster-1,DWP,in-situ
CLUSTER__EDI,CDAWEB,crdp,EDI,Cluster,CDAWEB,ack_CDAWEB,1,,CLUSTER__EDI,CLUSTER,EDI,Electron Drift Instrument,Cluster-1,EDI,in-situ
CLUSTER__EFW,CDAWEB,crdp,EFW,Cluster,CDAWEB,ack_CDAWEB,1,,CLUSTER__EFW,CLUSTER,EFW,Electric Fields and Waves,Cluster-1,EFW,in-situ
CLUSTER__FGM,CDAWEB,crdp,FGM,Cluster,CDAWEB,ack_CDAWEB,1,,CLUSTER__FGM,CLUSTER,FGM,Fluxgate Magnetometer,Cluster-1,FGM,in-situ
CLUSTER__PEACE,CDAWEB,crdp,PEA,Cluster,CDAWEB,ack_CDAWEB,1,,CLUSTER__PEA,CLUSTER,PEA,Plasma Electron and Current Experiment,Cluster-1,PEACE,in-situ
CLUSTER__RAPID,CDAWEB,crdp,RAP,Cluster,CDAWEB,ack_CDAWEB,1,,CLUSTER__RAP,CLUSTER,RAP,Research with Adaptive Particle Imaging Detectors,Cluster-1,RAPID,in-situ
CLUSTER__STAFF,CDAWEB,crdp,STA,Cluster,CDAWEB,ack_CDAWEB,1,,CLUSTER__STA,CLUSTER,STA,Spatio-Temporal Analysis of Field Fluctuations,Cluster-1,STAFF,in-situ
CLUSTER__WBD,CDAWEB,crdp,WBD,Cluster,CDAWEB,ack_CDAWEB,1,,CLUSTER__WBD,CLUSTER,WBD,Wide Band Data Plasma Wave Receiver,Cluster-1,WBD,in-situ
CLUSTER__WHISPER,CDAWEB,crdp,WHI,Cluster,CDAWEB,ack_CDAWEB,1,,CLUSTER__WHI,CLUSTER,WHI,Waves of High Frequency and Sounder for Probing of Density by Relaxation,Cluster-1,WHISPER,in-situ
GEOTAIL__CPI,CDAWEB,crdp,CPI,Geotail,CDAWEB,ack_CDAWEB,1,,GEOTAIL__CPI,GEOTAIL,CPI,Comprehensive Plasma Instrumentation,Geotail,CPI,in-situ
GEOTAIL__EFD,CDAWEB,crdp,EFD,Geotail,CDAWEB,ack_CDAWEB,1,,GEOTAIL__EFD,GEOTAIL,EFD,Electric Field Detector,Geotail,EFD,in-situ
GEOTAIL__EPIC,CDAWEB,crdp,EPI,Geotail,CDAWEB,ack_CDAWEB,1,,GEOTAIL__EPI,GEOTAIL,EPI,Energetic Particle Instrument,Geotail,EPIC,in-situ
GEOTAIL__LEP,CDAWEB,crdp,LEP,Geotail,CDAWEB,ack_CDAWEB,1,,GEOTAIL__LEP,GEOTAIL,LEP,Low-Energy Particles,Geotail,LEP,in-situ
GEOTAIL__MGF,CDAWEB,crdp,MGF,Geotail,CDAWEB,ack_CDAWEB,1,,GEOTAIL__MGF,GEOTAIL,MGF,Magnetic Field,Geotail,MGF,in-situ
GEOTAIL__PWI,CDAWEB,crdp,PWI,Geotail,CDAWEB,ack_CDAWEB,1,,GEOTAIL__PWI,GEOTAIL,PWI,Plasma Wave Instrument,Geotail,PWI,in-situ
GOES__EPS,CDAWEB,crdp,EPS,GOES,CDAWEB,ack_CDAWEB,1,,GOES__EPS,GOES,EPS,Energetic Particle Sensor,GOES,EPS,in-situ
GOES__MAG,CDAWEB,crdp,MAG,GOES,CDAWEB,ack_CDAWEB,1,,GOES__MAG,GOES,MAG,ACE Magnetic Field Instrument,GOES,MAG,in-situ
IMAGE__EUV,CDAWEB,crdp,EUV,IMAGE,CDAWEB,ack_CDAWEB,1,,IMAGE__EUV,IMAGE,EUV,Extreme Ultraviolet Imager,IMAGE,EUV,remote
IMAGE__HENA,CDAWEB,crdp,HENA,IMAGE,CDAWEB,ack_CDAWEB,1,,IMAGE__HENA,IMAGE,HENA,High Energy Neutral Atom Imager,IMAGE,HENA,in-situ
IMAGE__LENA,CDAWEB,crdp,LENA,IMAGE,CDAWEB,ack_CDAWEB,1,,IMAGE__LENA,IMAGE,LENA,LOW ENERGY NEUTRAL ATOM IMAGER,IMAGE,LENA,in-situ
IMAGE__MENA,CDAWEB,crdp,MENA,IMAGE,CDAWEB,ack_CDAWEB,1,,IMAGE__MENA,IMAGE,MENA,Medium Energy Neutral Atom Imager,IMAGE,MENA,in-situ
IMAGE__RPI,CDAWEB,crdp,RPI,IMAGE,CDAWEB,ack_CDAWEB,1,,IMAGE__RPI,IMAGE,RPI,Radio Plasma Imager,IMAGE,RPI,remote
POLAR__CAMMICE,CDAWEB,crdp,CAM,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__CAM,POLAR,CAM,Charge And Mass Magnetospheric Ion Composition,Polar,CAMMICE,in-situ
POLAR__CEPPAD,CDAWEB,crdp,CEP,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__CEP,POLAR,CEP,Comprehensive Energetic Particle Pitch Angle ,Polar,CEPPAD,in-situ
POLAR__EFI,CDAWEB,crdp,EFI,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__EFI,POLAR,EFI,Electric Field Instrument,Polar,EFI,in-situ
POLAR__HYDRA,CDAWEB,crdp,HYD,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__HYD,POLAR,HYD, Fast Plasma Analyzer,Polar,Hydra,in-situ
POLAR__MFE,CDAWEB,crdp,MFE,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__MFE,POLAR,MFE,Magnetic Fields,Polar,MFE,in-situ
POLAR__PIXIE,CDAWEB,crdp,PIX,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__PIX,POLAR,PIX,Polar Ionospheric X-ray Imaging Experiment,Polar,PIXIE,remote
POLAR__PWI,CDAWEB,crdp,PWI,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__PWI,POLAR,PWI,Plasma Wave Instrument,Polar,PWI,in-situ
POLAR__TIDE,CDAWEB,crdp,TID,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__TID,POLAR,TID,Thermal Ion Dynamics Experiment,Polar,TIDE,in-situ
