Time Enter FOV|observatory|Time Exit FOV|Fades or Data Gap|CME Type|Brightness|PA (deg)|Angular Width (deg)|Time Onset|Not in Event List|Velocity (km/s)|Longitude S-E Line (deg)|Longitude Error (deg)|Time 1AU|Comment
2007-03-31T18:10:00Z|STEREO_B|NaN|1|D|B3|275|40|NaN|1|NaN|NaN|NaN|NaN|Closed' loop CME, interference from Earth in FOV
2007-04-15T04:10:00Z|STEREO_B|2007-04-17T05:30:00Z|0|B|B2|268|45|NaN|1|NaN|NaN|NaN|NaN|Multi-loop CME; early asymmetric single loop 265-305 deg.
2007-04-19T11:30:00Z|STEREO_A|2007-04-20T21:30:00Z|0|B|B3|90|90|2007-04-19T01:36:00Z|0|391|32|13|2007-04-23T12:20:00Z|Multiple loop CME, fading rapidly. Impacts Encke/Venus. Pre-CME fuse at PA 112 deg.
2007-05-01T20:50:00Z|STEREO_A|2007-05-03T20:10:00Z|0|D|B3|98|75|2007-05-01T17:18:00Z|0|300|77|17|2007-05-07T12:52:00Z|Complex, multiple loop CME, some closed structure. Fragmenting.
2007-05-03T05:30:00Z|STEREO_B|2007-05-05T20:10:00Z|0|F|B1|283|85|2007-05-03T09:12:00Z|0|338|31|10|2007-05-08T13:08:00Z|Multiple loops, fragmenting and dimming
2007-05-06T06:10:00Z|STEREO_A|2007-05-07T18:50:00Z|0|E|B3|90|90|2007-05-05T23:42:00Z|0|361|100|29|2007-05-10T20:46:00Z|Comlpex ascending structure dominated by V-shaped feature.
2007-05-09T12:50:00Z|STEREO_A|NaN|1|B|B2|83|75|2007-05-09T05:49:00Z|0|357|52|13|2007-05-14T03:18:00Z|Complex loop-like event, fades very early; pre-CME fuse at PA 70 deg.
2007-05-11T11:30:00Z|STEREO_B|NaN|1|A|B1|273|35|NaN|1|NaN|NaN|NaN|NaN|Very small loop-like CME in few frames. Some optical interference. Fuse at 288 deg.
2007-05-16T00:50:00Z|STEREO_A|2007-05-17T09:30:00Z|0|F|B3|83|75|2007-05-15T19:28:00Z|0|358|58|12|2007-05-20T16:49:00Z|Multiple-loop CME fills the FOV, several loops follow
2007-05-18T20:10:00Z|STEREO_B|2007-05-20T18:50:00Z|0|C|B1|270|40|NaN|1|NaN|NaN|NaN|NaN|Weak CME. Loops with some closed structures.
